id,algorithm,server_name,endpoint,start_time,end_time,total_time,success,client_ip,created_at
3445,random,img1,/webp2png,1776588806.0343385,1776588808.7769675,2.742629051208496,1,,1776588808.777111
3446,ip_hash,img1,/webp2png,1776588806.2196589,1776588808.7980537,2.578394889831543,1,,1776588808.7982144
3447,ip_hash,img1,/webp2png,1776588807.0095017,1776588808.803087,1.7935853004455566,1,,1776588808.8032184
3448,random,img1,/webp2png,1776588806.7034678,1776588808.8128238,2.109355926513672,1,,1776588808.8129914
3449,ip_hash,img1,/webp2png,1776588806.4669812,1776588808.8175266,2.3505454063415527,1,,1776588808.8176405
3450,power_of_two,rar1,/ziprar,1776588808.5250587,1776588814.5774472,6.052388429641724,1,,1776588814.5776443
3451,least_connections,rar1,/ziprar,1776588808.1598794,1776588814.597803,6.4379236698150635,1,,1776588814.5980144
3452,ip_hash,rar1,/ziprar,1776588807.6049309,1776588814.623451,7.01852011680603,1,,1776588814.6236238
3453,random,rar1,/ziprar,1776588807.8940938,1776588814.636153,6.742059230804443,1,,1776588814.6363173
3454,random,rar1,/ziprar,1776588808.3684642,1776588814.6488237,6.280359506607056,1,,1776588814.6490443
3455,ip_hash,img1,/webp2png,1776588813.8431764,1776588817.2341826,3.3910062313079834,1,,1776588817.2343347
3456,least_connections,img1,/webp2png,1776588814.2524703,1776588817.3272712,3.074800968170166,1,,1776588817.3312423
3457,round_robin,img1,/webp2png,1776588813.4077692,1776588817.338872,3.931102752685547,1,,1776588817.3411608
3458,ip_hash,img1,/webp2png,1776588813.0459504,1776588817.3712707,4.325320243835449,1,,1776588817.3714721
3459,ip_hash,img1,/webp2png,1776588812.7527087,1776588817.3970284,4.644319772720337,1,,1776588817.397249
3460,least_connections,img1,/webp2png,1776588821.7778294,1776588825.098318,3.320488691329956,1,,1776588825.0984826
3461,random,img1,/webp2png,1776588822.0687704,1776588825.1749697,3.106199264526367,1,,1776588825.1752112
3462,power_of_two,img1,/webp2png,1776588821.3653505,1776588825.1825938,3.8172433376312256,1,,1776588825.182732
3463,ip_hash,img1,/webp2png,1776588822.3351233,1776588825.2079058,2.8727824687957764,1,,1776588825.2080765
3464,power_of_two,img1,/webp2png,1776588822.6561408,1776588825.255352,2.5992112159729004,1,,1776588825.2555258
3465,ip_hash,img1,/webp2png,1776588829.168441,1776588834.240261,5.071820020675659,1,,1776588834.2404695
3466,round_robin,img1,/webp2png,1776588830.5703897,1776588834.2638319,3.6934421062469482,1,,1776588834.2640028
3467,ip_hash,img1,/webp2png,1776588830.1838083,1776588834.2799842,4.096175909042358,1,,1776588834.2801454
3468,round_robin,img1,/webp2png,1776588829.5947976,1776588834.2866254,4.691827774047852,1,,1776588834.2867582
3469,ip_hash,img1,/webp2png,1776588829.877698,1776588834.2965934,4.418895483016968,1,,1776588834.2967741
3470,power_of_two,rar1,/ziprar,1776588832.9522214,1776588842.443329,9.491107702255249,1,,1776588842.4435186
3471,power_of_two,rar1,/ziprar,1776588834.347186,1776588842.4679198,8.120733737945557,1,,1776588842.4680896
3472,round_robin,rar1,/ziprar,1776588833.8582106,1776588842.4775023,8.61929178237915,1,,1776588842.477634
3473,random,rar1,/ziprar,1776588833.4308116,1776588842.4865232,9.055711507797241,1,,1776588842.4867165
3474,random,rar1,/ziprar,1776588832.4190202,1776588842.5007885,10.081768274307251,1,,1776588842.5010302
3475,power_of_two,img1,/webp2png,1776588840.1928396,1776588845.071517,4.8786773681640625,1,,1776588845.0717926
